Back to front page,A1. Headline Annual Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section,National Accounts,,,,,,,,,,,,"Labour, capital and productivity",,,,,,,,Wages and Prices,,,,,,,,,Financial markets,,,,,,,,,,,,,Money and Credit,,,,,,,Fiscal,,,,,,,,Trade,,,,,
Description,Real GDP at market prices,Real GDP at factor cost,HP-filtered log real GDP at factor cost,Real gross disposable national income at market prices,Real consumption,Real investment,Stockbuilding contribution,Real government consumption of goods and services,Export volumes,Import volumes,Nominal GDP at market prices,Nominal GDP at market prices,Population,Employment,Unemployment rate,Average weekly hours worked,"Capital Services, whole economy",TFP growth,Labour productivity,"Labour share, whole economy excluding rents",GDP deflator at market prices,Export prices,Import prices,Terms of Trade,$ Oil prices,Earnings per head,Consumer price index,Consumer price inflation,Wholesale/producer price index,Bank rate,,10 year/medium-term government bond yields,Consols / long-term government bond yields,Mortgage rates,Corporate borrowing rate from banks,Corporate bond yields,Share prices,$/£ exchange rate,Real $/£ exchange rate,Nominal ERI,Real ERI,House price index,Credit ,Secured credit,Bank of England Balance sheet,Notes and coin in circulation,Monetary base,M1,Broad Money ,Public sector Total Managed Expenditure,,Public Sector Total Receipts,,Public Sector Net Lending(+)/Borrowing(-),,Public sector debt,,Trade deficit,,Current account ,,Current account deficit including estimated non-monetary bullion flows,
Worksheet,2. Real GDP (A) 1700-2014,A2. Real GDP (A) 1700-2015,A2. Real GDP (A) 1700-2015,"5. GDP, GNI and National Saving",7. GDP(E) - volumes,A7. GDP(E) - volumes,A7. GDP(E) - volumes,7. GDP(E) - volumes,A23. Trade volumes ,A23. Trade volumes ,3. Nominal GDP (A) 1700-2014,A3. Nominal GDP (A) 1700-2015,4. Population ,A28. Employment,A28. Employment,A31. Hours worked,A31. Capital stock 1851-2014,A33. Productivity 1855-2014,A33. Productivity 1855-2015,A33. Productivity 1855-2016,A26. Wages and prices,A23. Trade volumes ,A23. Trade volumes ,A23. Trade volumes ,A23. Trade volumes ,A26. Wages and prices,A26. Wages and prices,A26. Wages and prices,A26. Wages and prices,A19. Interest rates  ,A19. Interest rates  ,A19. Interest rates  ,A19. Interest rates  ,A19. Interest rates  ,A19. Interest rates  ,A19. Interest rates  ,A19. Interest rates  ,A21. Exchange rates,A21. Exchange rates,A21. Exchange rates,A21. Exchange rates,A20. Property prices,A15. Credit aggregates,A15. Credit aggregates,A13. BoE Balance sheet ,A14. Money,A14. Money,A14. Money,A14. Money,A16. Fiscal data ,A16. Fiscal data ,A16. Fiscal data ,A16. Fiscal data ,A16. Fiscal data ,A16. Fiscal data ,A18. National Debt ,A18. National Debt ,A24. Trade values ,A24. Trade values ,A24. Trade values ,A24. Trade values ,A24. Trade values ,A24. Trade values 
Units,"£mn, Chained Volume measure, 2013 prices","£mn, Chained Volume measure, 2013 prices",approx. % difference from trend,"£mn, Chained Volume measure, 2013 prices.  Nominal GDI divided by private and public consumption deflator","£mn, Chained Volume measure, 2013 prices","£mn, Chained Volume measure, 2013 prices",pp contribution to GDP(E),"£mn, Chained Volume measure, 2013 prices","£mn, Chained Volume measure, 2013 prices. ","£mn, Chained Volume measure, 2013 prices.  ",£mn,£mn,000s,000s,%,hours,"£mn, 2012 prices",%,"Real GDP per head, 2013 prices",share of GDP excluding rents,2013=1,2013=1,2013=1,2013=1,$ per barrel,"Average weekly earnings, £",2005=100,%,2010=100,% end period,"%, calendar year average","%, calendar year average","%, calendar year average","%, calendar year average","%, calendar year average","%, calendar year average","April 1962=100, Year end",Calendar year average,"Calendar year average, 1913=100","Calendar year average, 1913=100","Calendar year average, 1913=100","Calendar year average, Jan 2015 =100","Year end, £mn","Year end, £mn",% of nominal GDP,"Year end, £mn","Year end, £mn","Year end, £mn","Year end, £mn","Calendar year total, £mn",as a % of nominal GDP,"Calendar year total, £mn",as a % of nominal GDP,"Calendar year total, £mn",as a % of nominal GDP,"Year end stock outstanding, £mn",as a % of nominal GDP,£mn,as a % of nominal GDP,£mn,as a % of nominal GDP,£mn,as a % of nominal GDP
Documentation,,,,,,,,,Goods only prior to 1870.  GB only prior to 1816.,Goods only prior to 1870.  GB only prior to 1816.,Break-adjusted measure,This measure retains the level break in the series in 1920 resulting from the creation of S Ireland.  This can be used for constructing  ratios to nominal GDP if the user needs Irish incomes to be included in the denominator prior to 1920,Break-adjusted measure,Break-adjusted measure,,,,,,,,,,,,,,,,,,,,,NB Possible break in the mean of around +1% in 1977 reflecting a shift from the rate charged to blue chip companies to one covering the whole of the PNFC sector.,,,,,,,NB uses building costs as a rough proxy prior to 1895,"Break-adjusted stock of bank and building society lending, M4Lx","Break-adjusted stock of bank and building society lending secured on dwellings, excluding impact of securitisations",using lagged break-adjusted nominal GDP,,M0,Spliced break-adjusted stock,Spliced break-adjusted broad money measure based on M3/M4/M4x,excluding the temporary effects of financial interventions.,using break-adjusted nominal GDP,excluding the temporary effects of financial interventions.,using break-adjusted nominal GDP,excluding the temporary effects of financial interventions.  Central government only prior to 1900.,using break-adjusted nominal GDP,excluding public sector banks.  Includes estimated capital value of terminable annuities from 1835,using break-adjusted nominal GDP,,using break-adjusted nominal GDP,GB only before 1816,GB only before 1816,,
1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,96",,"1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00","3,67","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,98","−1,77","1,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,92","−5,41","1,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,92","0,00","1,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,89","−3,81","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,85","−4,95","1,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,85","0,00","1,40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,81","−4,17","1,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,82","1,09","1,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,81","−1,08","1,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,78","−3,26","1,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,78","−1,12","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,83","6,82","1,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,89","7,45","1,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,85","−4,95","1,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,78","−7,29","1,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,79","1,12","1,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,84","5,56","1,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,82","−2,11","1,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,79","−3,23","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,79","0,00","1,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,78","−2,22","1,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,78","1,14","1,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,80","2,25","1,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,81","1,10","0,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,71","−11,96","0,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,71","0,00","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,70","−1,23","1,06",,,,,,,,,,,,,,,,,,,,,,,,,"−1,0",,,,,,,,,
1690,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,72","2,50","1,22",,,,,,,,,,,,,,,,,,,,,,,,,"−1,0",,,,,,,,,
1691,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,73","1,22","1,33",,,,,,,,,,,,,,,,,,,,,,,,,"−0,8",,"3,1",,,,,,,
1692,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,72","−1,20","1,19",,,,,,,,,,,,,,,,,,,,,,,,,"−0,6",,"3,3",,,,,,,
1693,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,76","4,88","1,22",,,,,,,,,,,,,,,,,,,,,,,,,"−1,7",,"5,9",,,,,,,
1694,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,84","10,47","1,21","6,00",,,,,,,,,,,,,,,,,,,,,,,,"−1,7",,"6,1",,,,,,,
1695,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,84","0,00","1,26","3,00","3,63",,,,,,,,,,,,,,,,,,,,,,,"−2,4",,"8,4",,,,,,,
1696,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,87","4,40","1,39","3,00","3,00",,,,,,,,,,,,,,,,,,,,,,,"−3,5",,"11,6",,,,,,,
1697,,,,,,,,,112,129,,,,,,,,,,,,,,,,,"0,88","0,83","1,35","3,00","3,00",,,,,,,,,,,,,,,,,,,,,,,"−3,4",,"16,7",,,,,,,
