Year,Real GDP at market prices,Unemployment rate,Consumer price inflation
1900,181160.0,3.68,4.06
1901,184975.0,4.88,-0.3
1902,187757.0,5.15,0.0
1903,186016.0,5.6,1.1
1904,188156.0,6.91,-0.4
1905,193666.0,6.48,0.4
1906,198524.0,5.18,-0.1
1907,202300.0,4.4,1.59
1908,194777.0,7.11,1.27
1909,199383.0,7.54,0.19
1910,204633.0,5.79,2.12
1911,211385.0,4.75,0.28
1912,214508.0,3.97,2.82
1913,223345.0,3.62,0.64
1914,227790.0,3.16,2.55
1915,240296.0,0.95,12.5
1916,243000.0,0.33,18.1
1917,241403.0,0.47,25.2
1918,246001.0,0.65,22.0
1919,226744.0,3.02,10.1
1920,213408.0,1.95,15.4
1921,192684.0,11.02,-8.6
1922,202914.0,9.68,-14.0
1923,208925.0,7.99,-6.0
1924,218786.0,7.12,-0.7
1925,226485.0,7.76,0.3
1926,219419.0,8.67,-0.8
1927,236293.0,6.71,-2.4
1928,238403.0,7.43,-0.3
1929,245205.0,7.18,-0.9
1930,243254.0,11.1,-2.8
1931,231969.0,14.88,-4.3
1932,232128.0,15.39,-2.6
1933,239510.0,13.93,-2.1
1934,253801.0,11.73,0.0
1935,263187.0,10.87,0.7
1936,275737.0,9.25,0.7
1937,285387.0,7.7,3.4
1938,287602.0,9.2,1.6
1939,300258.0,5.68,2.8
1940,330052.0,2.99,16.8
1941,358791.0,1.03,10.8
1942,365224.0,0.44,7.1
1943,371499.0,0.32,3.4
1944,355152.0,0.28,2.7
1945,338911.0,0.41,2.8
1946,330579.0,1.71,3.1
1947,326360.0,1.29,7.0
1948,336854.0,1.29,7.7
1949,348243.0,1.16,2.8
1950,359774.0,1.45,3.92
1951,373254.0,1.18,9.05
1952,379199.0,1.92,10.65
1953,400153.0,1.58,3.63
1954,417347.0,1.31,2.29
1955,433302.0,1.08,5.07
1956,440315.0,1.16,5.16
1957,448743.0,1.4,3.84
1958,454426.0,2.02,2.88
1959,473093.0,2.11,0.6
1960,502799.0,1.6,0.79
1961,516253.0,1.52,3.25
1962,521906.0,1.99,4.2
1963,547364.0,2.43,2.11
1964,577677.0,1.63,3.23
1965,589975.0,1.41,4.26
1966,599211.0,1.52,4.0
1967,615879.0,2.34,2.24
1968,649439.0,2.37,4.0
1969,661919.0,2.29,5.2
1970,679900.0,2.44,6.52
1971,703556.0,4.14,9.41
1972,733770.0,4.34,7.19
1973,781583.0,3.65,9.35
1974,762257.0,3.65,15.73
1975,750912.0,4.5,22.7
1976,772852.0,5.4,15.66
1977,791889.0,5.59,14.94
1978,825111.0,5.51,7.47
1979,855933.0,5.38,11.37
1980,838462.0,6.81,15.15
1981,831931.0,9.65,11.81
1982,848700.0,10.72,8.11
1983,884520.0,11.47,4.93
1984,904639.0,11.77,4.26
1985,942519.0,11.36,4.92
1986,972239.0,11.32,3.33
1987,1024346.0,10.43,3.2
1988,1083629.0,8.57,3.76
1989,1111618.0,7.22,5.24
1990,1119587.0,7.1,6.97
1991,1107059.0,8.82,7.53
1992,1111043.0,9.95,4.26
1993,1138897.0,10.37,2.51
1994,1183144.0,9.5,1.98
1995,1212798.0,8.62,2.66
1996,1243709.0,8.1,2.4
1997,1282602.0,6.97,1.82
1998,1323527.0,6.26,1.56
1999,1366983.0,5.98,1.33
2000,1418176.0,5.46,0.8
